20220518	19:38:38	355ea62b-ac6e-4ece-a34a-2d703436ae24	/new-page	GET
20220518	19:38:38	cd81931f-859b-4aa7-8077-c57c5ac0541c	/css/style.css	GET
20220518	19:38:38	42f43664-08bb-4dec-8a71-9dd4cd16b67c	/img/img1.jpg	GET
20220518	19:38:38	1d46fc51-0e0e-412a-966c-02af27d54805	/favicon.ico	GET
20220518	19:40:47	2c794680-319c-4c04-b891-f7bab0fc71ac	/new-page	GET
20220518	19:41:44	fa1b8d22-cbbf-4f90-a5d7-d462a70856fc	/new-page	GET
20220518	19:41:44	da2e3a75-9074-4218-8786-e380fec74a9d	/css/style.css	GET
20220518	19:41:44	c9ca0523-20c8-4aff-a2f5-884b03102c7e	/img/img1.jpg	GET
20220518	19:42:23	52c46d43-4f62-4a5e-aa83-2e1bdd00c9a7	/new-page	GET
20220518	19:42:23	196bd0c8-5d0a-44d1-b566-e36add60e505	/css/style.css	GET
20220518	19:42:23	d552bd2e-59ce-4c55-b6de-29d54a16a7a8	/img/img1.jpg	GET
20220518	19:42:47	e874e320-c771-4197-ad87-f677e0d46586	/	GET
20220518	19:42:48	d3a1b18f-9ee0-4e5d-86a7-a19963f876ff	/css/style.css	GET
20220518	21:49:37	b4725822-8ead-4ec2-986b-0459936462be	GET	undefined	/
20220518	21:49:37	45beec45-9cd6-4bdf-a5b6-0c17fc367852	GET	undefined	/css/style.css
20220518	21:59:52	9100f8d1-aef7-409e-adf7-3681363dc457	GET	undefined	/
20220518	21:59:52	5144e6c8-306a-4fed-8ea4-2f412d997ac4	GET	undefined	/css/style.css
20220518	22:13:12	22643767-cf35-45ec-ba5e-a2e83adaca38	GET	https://www.google.com	/
20220518	22:24:00	696218d8-1379-4e86-9f80-6937c71983e3	GET	https://www.google.com	/
20220518	22:25:14	00de7c0b-ef68-4950-8e50-ec4f02357d0a	GET	https://www.google.com	/
20220518	22:32:22	d76d5207-331e-4e57-bb0d-57363c503e01	GET	undefined	/
20220518	22:32:22	d6da27da-0e62-40a7-8680-3a4165d8a7a8	GET	undefined	/css/style.css
20220518	22:52:19	45882278-ed37-4a40-bfdb-2df552230c17	GET	undefined	/
20220518	23:09:49	cc0c035f-eeb5-4130-aac5-7254a01ab72d	GET	undefined	/
20220518	23:09:50	c3eb7fc4-1e69-4805-919e-8a32ccf5357a	GET	undefined	/css/style.css
20220518	23:09:53	f5b19ba6-4e27-4c3c-a9b7-8b6c09dbea1b	GET	undefined	/
20220518	23:09:53	98c2bb24-ca4c-44f3-8314-3afb6db9003d	GET	undefined	/css/style.css
20220518	23:10:31	0d293e72-0789-4c9b-bf6a-24d70f489952	GET	undefined	/
20220518	23:10:52	9b2e1285-db2f-4b47-85f2-0a47e316776f	GET	undefined	/
20220518	23:10:52	6c946e62-4664-4021-9719-008632fe2494	GET	undefined	/css/style.css
20220518	23:15:33	8429e344-3a0a-433c-88bc-223d650443ef	GET	undefined	/
20220518	23:15:33	e1d9aa69-5d1f-4344-9418-44fe5a35e04c	GET	undefined	/css/style.css
20220518	23:15:56	9b6b68c5-65f8-4822-85b5-c554fdba5f9f	GET	undefined	/me
20220518	23:15:56	f2b74a7a-8602-40fc-8a0e-ff74a1468a96	GET	undefined	/css/style.css
20220518	23:24:54	26ed6c3e-d659-430c-83f5-cd9656e29d8e	GET	undefined	/me
20220518	23:24:54	cdd7038d-39c9-47a5-8d06-34c0558cc96e	GET	undefined	/css/style.css
20220519	22:06:31	f89b7182-bdb1-4e18-aa8c-e94686137786	GET	undefined	/css/style.css
20220519	22:08:39	be601337-58ac-49f3-8c48-2efd700e08a5	GET	undefined	/
20220519	22:08:41	1bbd2b33-bc36-4a8e-81c3-09b8bda683c1	GET	undefined	/css/style.css
20220519	22:18:41	5394a277-b115-4f62-bb5e-025a8cf0523c	GET	undefined	/new-page
20220519	22:18:43	32c65099-9b23-4b77-a141-e52802662fa5	GET	undefined	/css/style.css
20220519	22:18:43	1c83517a-7879-4b59-9820-5773970f27c3	GET	undefined	/img/img1.jpg
20220519	22:38:11	168f3eb1-5813-4237-b818-a4f880defee0	GET	undefined	/
20220519	22:38:11	a6197b55-6876-41e4-8190-6e5306f9adc9	GET	undefined	/css/style.css
20220519	22:40:19	43965bdc-2813-48b8-85c3-d0dfd86337e3	GET	https://www.google.com	/
20220519	22:43:44	853d2e9c-21da-46e3-94e4-6de14a16dd4d	GET	undefined	/
20220519	22:43:44	30cc422b-692f-4564-b38a-1ca0e72ba450	GET	undefined	/css/style.css
20220519	22:50:00	2f0b8eb7-9abd-4986-87c0-9d363afe6f82	GET	undefined	/css/style.css
20220519	22:50:15	1b5788f9-ec99-4803-8cbf-d06d4099d1ab	GET	undefined	/
20220519	22:51:42	7ad9012b-2b1e-4ea6-a65c-86541e2fe316	GET	https://www.google.com	/
20220519	22:52:24	d87b359f-b576-44ce-affa-b4849a40bd91	GET	undefined	/
20220519	22:52:24	d9d76547-f932-45e3-bdbf-212263930b31	GET	undefined	/css/style.css
20220520	11:12:06	0226a9e0-988c-46b9-b5fe-710432104af9	GET	undefined	/
20220520	11:12:25	a03e9f65-7993-4874-96c4-fe3cd2a9389b	GET	undefined	/
20220520	11:12:25	8d050d91-982c-457b-bffb-0ca407895920	GET	undefined	/css/style.css
20220520	11:59:48	161ddbce-6b50-4422-9860-37c1dc97f3ca	GET	undefined	/css/style.css
20220520	11:59:59	e31844d0-c1ad-4318-9341-c4af3a037062	GET	undefined	/subdir
20220520	11:59:59	510181db-fcb9-4e2e-962b-f224bc529358	GET	undefined	/css/style.css
20220520	12:00:28	9bdc6aec-1ee1-4095-adbd-9cc131a79f5f	GET	undefined	/views/subdir
20220520	12:00:28	d3adb818-bdb0-421d-9bce-9c34df18ff08	GET	undefined	/views/css/style.css
20220520	12:00:40	34230f55-65b3-4028-9c7a-20b2561a8df0	GET	undefined	/views/subdir/index
20220520	12:00:40	1cb4709e-ad0c-4aa3-bf47-cddd08901157	GET	undefined	/views/subdir/css/style.css
20220520	12:00:50	271a11fe-7517-49c7-9ab1-4f9f6fb017f7	GET	undefined	/views/subdir/test
20220520	12:00:50	cb18f3a5-17bf-4b2b-aedd-a0a037f36f56	GET	undefined	/views/subdir/css/style.css
